product_id,mrp,usp,net_quantity,product_name,manufacturer,manufacturing_date,expiry_date,consumer_care
image1,₹ 249/-,₹ 0.99 Per g,250 g,Quinoa Pasta,Chef Urbano Foods Pvt. Ltd.,10/08/26,09/08/27,"+91-9311236555"
image2,₹ 105.00,₹ 0.21 per gram,500 gm,Quinoa,Patel Shanabhai Darubhai & Co.,18-05-2026,17-11-2026,"02692-274143"
image3,₹ 152,NOT_VISIBLE,1 kg,India Gate Brown Rice,KRBL Limited,12/02/2025,11/02/2027,customercare@krb1india.com
image4,Rs. 50.00,₹ 2.50 per g,20 g,Lawang (Cloves),ALIGN RETAIL TRADES PVT. LTD.,10/08/26,06/02/27,"022-71230555, suggestion@dmartindia.com"
image5,Rs. 340.00,NOT_VISIBLE,1 kg,Apis Himalaya Honey,Apis India Limited,08/2020,Best Before Twenty Four Months From Packaging,"011-43205660, consumer@apisindia.com"
image6,Rs. 359.00,1.44,250 ml (228 g),Figaro Extra Virgin Olive Oil,EOLIEO S.A.U. / Deolio Global Pvt. Ltd.,JUL 2025,JAN 2028,"info@deolio.com, +91-80-40934994"
image7,410.00,NOT_VISIBLE,1 kg,Patanjali Honey,Patanjali Foods Limited,17/11/2025,16/05/2027,"1800-180-4109, wecare@patanjali.co.in"
image8,₹150/-,₹1.03/- Per gm.,145g/5.11oz,Once More,SAHRIDAY FOOD PRODUCTS,20/02/26,15/02/27,"sahriday@hotmail.com, +91 9825588822"
image9,118.00,1.40 Rs/g,65 g,Keya Piri Piri,Keya Foods International Pvt. Ltd.,20 MAY 2024,20 MAY 2026,"+91-9136666907, lovefood@keyafoods.com"
image10,₹ 180 RS,NOT_VISIBLE,500 GM,Lemon Pickle,AMRIK SUKHDEV VAISHNO DHABA,14.04.2028,Best Before 6 Months From The Date Of Manufacturing,"+91 7082134999, 70821 35999, amriksukhdevdhaba1956@gmail.com"
image11,Rs. 265,Rs.5.89 per g,45g,Nescafe Classic,NESTLE INDIA LIMITED,SEP/25,MAR/27,1800 103 1947
image12,300.00,3.75/g,80 g,Korean Gochugaru,Istore Direct Trading Pvt. Ltd.,14-NOV-2025,13-NOV-2026,NOT_VISIBLE
image13,47.00,Rs. 0.24 Per g,200g,Catch Black Salt,DS SPICEO PVT. LTD.,07/04/26,06/04/27,"+91-120-4632860, foods@dsgroup.com"
image14,99.00,2.48 Per g,40 g,Keya Wonder Hot Red Chilli Flakes,Keya Foods International Pvt. Ltd.,07 MAR 2025,06 MAR 2027,"+91-9136666907, lovefood@keyafoods.com"
image15,109.00,7.27 Per g,15 g,Keya Oregano,Keya Foods International Pvt. Ltd.,04 AUG 2025,03 AUG 2027,"+91-9136666907, lovefood@keyafoods.com"
