product_id,field,value,predicted,confidence,correct_label
image5,expiry_date,Best Before Twenty Four Months From Packaging,product_name,0.621,expiry_date
image6,usp,1.44,mrp,0.435,usp
image8,net_quantity,145g/5.11oz,mrp,0.278,net_quantity
image8,manufacturer,SAHRIDAY FOOD PRODUCTS,product_name,0.568,manufacturer
image10,manufacturer,AMRIK SUKHDEV VAISHNO DHABA,product_name,0.567,manufacturer
image10,expiry_date,Best Before 6 Months From The Date Of Manufacturing,product_name,0.338,expiry_date
image16,usp,2.60,mrp,0.435,usp
image18,manufacturer,Bhavani Pharmaceuticals,product_name,0.534,manufacturer
image19,usp,1.60/1N,mrp,0.36,usp
image21,expiry_date,Best Before 9 Months From Packaging,product_name,0.322,expiry_date
image25,net_quantity,68.5 g,usp,0.626,net_quantity
image25,expiry_date,Best Before 9 Months From Packaging,product_name,0.322,expiry_date
image28,mrp,325,net_quantity,0.576,mrp
image30,usp,Rs.14.45,mrp,0.463,usp
image30,expiry_date,Best before 6 years from date of Pkg.,net_quantity,0.226,expiry_date
image38,usp,₹ 75.00,mrp,0.815,usp
image39,usp,1.71/-,mrp,0.374,usp
image39,product_name,Satvik Foods Roasted Rose Leaf,manufacturer,0.592,product_name
image49,manufacturer,Gujarat Sat Isabgol Factory,product_name,0.698,manufacturer
image50,manufacturer,Jolly Pharm India,product_name,0.635,manufacturer
image52,usp,₹ 0.053,mrp,0.815,usp
image53,usp,Per bottle of 5ml,net_quantity,0.241,usp
image54,product_name,D-Rise 60K,expiry_date,0.233,product_name
image55,manufacturer,Mondelez International group,product_name,0.536,manufacturer
image57,net_quantity,12.1 g,usp,0.626,net_quantity
image58,usp,200.00Rs,mrp,0.393,usp
image58,manufacturer,Dry Fruit House,product_name,0.696,manufacturer
image75,manufacturer,Media Minds,product_name,0.714,manufacturer
image76,manufacturer,Majithia Masala,product_name,0.626,manufacturer
image78,manufacturer,Spyrun Masala Mill,product_name,0.653,manufacturer
image79,usp,₹ 0.35,mrp,0.485,usp
image79,manufacturer,Suhana Masalewale,product_name,0.535,manufacturer
image80,manufacturer,Best - Gruh Udyog,product_name,0.45,manufacturer
image82,manufacturer,Suhana Masalewale,product_name,0.535,manufacturer
image82,manufacturing_date,"19/12/25, 12/12/25",consumer_care,0.364,manufacturing_date
image82,expiry_date,"18/12/26, 11/12/26",consumer_care,0.364,expiry_date
