product_id,mrp,usp,net_quantity,product_name,manufacturer,manufacturing_date,expiry_date,consumer_care
image1,NOT_VISIBLE,per100g,0.2g,MULTIGRAIN PASTA,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image2,500 gm,NOT_VISIBLE,500 gm,QUINOA,PATEL SHANABHAI DARUBHAI &Co.,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image3,132mg,NOT_VISIBLE,1kg,BROWN RICE,KRBLLinit,100g,100g,E-mal: customercre@kboindia.com
image4,MRP50.00,2.50perg,2.50perg,LAWANG-20g,ALIGN RETAIL TRADES PVT.LTD.,Pkd.10/08/26,10017022005799,022-71230555suggestion@dmartindia.com
image5,NOT_VISIBLE,NOT_VISIBLE,1 Kg,Himalaya,"MANUFACTURED&PACKED BY:APIS INDIA LIMITED,",2020,BEST BEFORE TWENTY FOUR MONTHS FROM PACKAGING,mail: consumer@apisindia.com
image6,NOT_VISIBLE,NOT_VISIBLE,Net quantity: 250m (228g),EXTRA VIRGIN,EOLEO INDIA PVT.LTD.DBS,2028,2028,NOT_VISIBLE
image7,4000,NOT_VISIBLE,1 kq,PATANJALD,PATANJALD,16/05/2027,16/05/2027,NOT_VISIBLE
image8,145g/5.110z,1.03/-Per gm.,145g/5.110z,MORE,healthy food products.,20%,NOT_VISIBLE,Email us on sahriday@hotmail.com or
image9,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,PIRI PIRI,Keya Foods International Pvt.Ltd,NOT_VISIBLE,NOT_VISIBLE,orEmailDlovefood@keyafoods.com
image10,180RS,NOT_VISIBLE,800GM,non Pickle,NOT_VISIBLE,14.04.,BEST BEFORE 6 MONTHS,"+917082134999,7082135999"
image11,NOT_VISIBLE,Rs.265Rs.5.89 per g,45g,NESCAFE,MigbNESTLNDIATD.KIADBINUSTRAREA,SEPI25-MAR/27,SEPI25-MAR/27,18001031947
image12,LE:00008,NOT_VISIBLE,NOT_VISIBLE,KOREAN,Packed bystore Direct Trading Pt.td.,14-NO4-2025,14-NO4-2025,NOT_VISIBLE
image13,47.000.24Per 9,47.000.24Per 9,200g,Blacl Salt,DS SPICECO PVT.LTD.,070426060427,070426060427,NOT_VISIBLE
image14,99.00,Rs:2.48 Perg,40 g,NOT_VISIBLE,A Keya Foods International Pvt.Ltd.,07MAR2025,07MAR2025,NOT_VISIBLE
image15,109.00,Rs:7.27 Perg,15g,OREGANO,Keya Foods Intertionalt.Ltd,03AUG2027,03AUG2027,mai oefood@keafoos.misit..kaods.com
image16,0%,0%,75.6g,Ramdev Spice World,PRIVATE LIMITED,00,NOT_VISIBLE,E-mall into@ramdev.co.in
image17,230.00,550g,500g+50g Free,NOT_VISIBLE,DA3UR INDIA LIMITED,202.60,202.60,E-Mail: daburcares@dabur.com
image18,100ml.,NOT_VISIBLE,100ml.,Herbal Cough Syrup,Mfg.By :Bhavani Pharmaceuticals,12/2027,12/2027,Email :maiwaymarketing@gmall.com
image19,NOT_VISIBLE,50N,50N,ABLE TISSUES,TAINWALA PERSONALCARE,ERIARY-2026,AR1-2031,EMAIL:SUGGESTION@DMARTINDIA.COM
image20,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,KACHI GHANI,PATANJALB,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image21,NOT_VISIBLE,NOT_VISIBLE,Net.Wt.500g,VHITE PEAS-500,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image22,-200g,0.20Per g,-200g,DAMart,NOT_VISIBLE,Pkd13/05/26,Pkd13/05/26,Email: suggestion@dmartindia.com
image23,MRP55.00,0.55 per g,1003014,gredient:Ajowan,NOT_VISIBLE,1999000621,11425850000026,Email: suggestion@dmartinda.com
image24,500 g,500 g,500 g,RAWA,"Marketed By:AVENUE SUPERMARTS LTD.(ASL),",Pkd.04/05/26,Use By:02/08/26,Email: suggestion@dmartindia.com
image25,NOT_VISIBLE,NOT_VISIBLE,=68.5g,MUSHROOM PENNe,NOT_VISIBLE,Li..10268,NOT_VISIBLE,18001031947
image26,NOT_VISIBLE,Per100g,400 g (350g+50g EXTRA*),ALOO BHUJIA SEV,HALDIRAM SNACKS FOOD PRIVATE LIMITED,NOT_VISIBLE,NOT_VISIBLE,CUSTOMERCARE@HALDIRAM.COM
image27,15/05/2026,0.10 per g,(SEMCLINA) 500 g,BARIK RAWA,NOT_VISIBLE,15/05/2026,15/05/2026,NOT_VISIBLE
image28,335.00,05USP Rs.0.65,335.00,PREMIUM FARD DATES,NOT_VISIBLE,0.00%,0.00%,consumer@apisindia.com
image29,MRP:140.00,15.55,NOT_VISIBLE,FOOD GRADE ALUMINIUM FOIL,BY HINDALCOt,2025,MANUFACTURED ON:,NOT_VISIBLE
image30,ISO 22000,Rs.14.45 (Incl.of all taxes),:1 Roll of 278mm x 20m,oddyuniwraps,"Manufactured by: Atul Paper Pvt. Ltd., 93-95,",JAN2025,We'd love to hear from you.,Email: uiplinnovations@gmail.com
image31,125,500 g,500 g,SUPERFINE,Manufactured &Packed by:-,06,-JUM-2026,ww.hagwatiexports.com
image32,NOT_VISIBLE,31 per kg),2kg,Salt,"Mkt byatavonsumer Products Limited,",JUN/28,JUN/28,EMAIL:care@tataconsumer.com
image33,135.00,0.27per g,135.00,Blue Bird,UNITED AGRO INDUSTRIES,08/01/28,08/01/28,customercare@bluebird.co.in
image34,500g,0.16 per g,500g,CHOWLI BIG,Marketed ByAVENUE SPERMARTS LTD.(ASL),Pkd.14/06/26,11521998000274,Email: suggestion@dmartindia.com
image35,5.60g,NOT_VISIBLE,1kg,CHANA DAL,NOT_VISIBLE,Pkd.22/06/26,Pkd.22/06/26,Email suggestion@dmartindia.com
image36,MRP91.90,00 g,1 kg,POHA JADA,NOT_VISIBLE,Pkd.20/07/26,UseBy17/1126,Email: suggestion@dmartindia.com
image37,MRP200.00,20.06 g,1 kg,Red Gram (Arhar),NOT_VISIBLE,Pkd.28/07/26,Use By25/11/26,Email suggestion@dmartindia.com
image38,7150.00. 275.00/14.,NOT_VISIBLE,2 Ply I 60 Pulls x 2 Rolls,KITCHENTISSUE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image39,SF25540,17-01-2027,15.0 mg83%,SATVIK FOODS,web: www.satvikfoodsindia.com,18-07-2026,18-07-2026,web: www.satvikfoodsindia.com
image40,00,998 ml,1-LTR,ASHTANG HEALTH CARE PVT.LTD.,ASHTANG HEALTH CARE PVT.LTD.,NOT_VISIBLE,NOT_VISIBLE,ASHTANG HEALTH CARE PVT.LTD.
image41,159,300 g,300 g,NOT_VISIBLE,Veeba is a registered trademark of VRB Consumer Products Pvt. Ltd.,26,1293,above address; email: hello@veeba.in call: 0124-4653250
image42,NOT_VISIBLE,1102515,90g,GREEN CHILLI,NOT_VISIBLE,NOT_VISIBLE,2027,NOT_VISIBLE
image43,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,RED CHILLI SAUCE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image44,60(Rs.0.29/g),60(Rs.0.29/g),210g,Ching's Secret Dark Soy Sauce,of CapitalFoos,23/04/2025(11:32,23/04/2025(11:32,NOT_VISIBLE
image45,NOT_VISIBLE,NOT_VISIBLE,450g,Glucon-D,ZYDUSWELLNESS PRODUCTS LIMITED ZYDUS,13/05/27,13/05/27,USAT CUSTOMERCARE@ZYDUSWELLNESS.COM
image46,0.03,t315g,t315g,Pizza Topping Allin-One,Dr.Oetker,01/04/2026,01/04/2026,18002700481care@oetker.in
image47,520,320 g,320 g,NOT_VISIBLE,Mfd&Mkt byVRB Consumer Poducts Pt.Ld.,MAY20,MAY20,NOT_VISIBLE
image48,NOT_VISIBLE,NOT_VISIBLE,410g,TRADITIONAL,email:info@rruniversal.in,MFD05052609:42BNO,NOT_VISIBLE,address 0r call on 91-22-22007387 or
image49,0.0g,1.78/G,NOT_VISIBLE,SAT-ISABGOL,the seeds of isabgol by,APR-26,OCT-27,NOT_VISIBLE
image50,154,195/-6.5 per ml.),.5ml.,NOT_VISIBLE,JOLLY PHARMA INDIA,NOT_VISIBLE,NOT_VISIBLE,JOLLY PHARMA INDIA
image51,235.00(0.39/g),NOT_VISIBLE,NOT_VISIBLE,CHOCOLATE FLAVOR,NOT_VISIBLE,08.07.26/02.08.27,08.07.26/02.08.27,NOT_VISIBLE
image52,.0000,.0000,750 n,PEPSI,MKT.BY:PEPSICOINDIA HOLDINGSPVT.LTD.,NOT_VISIBLE,USEBY02124,CONSUMER.FEEDBACK@PEPSICO.COM18002240
image53,69.42,Per bottle of 5ml,4 x 5 ml,CALCIGEN D3 Nano,PHARMACEUTICALS,2026,2026,NOT_VISIBLE
image54,131.54,NOT_VISIBLE,2x4 Capsules,D-Rise,Mfd.by:Softech Pharma Pvt.Ltd,OCT.2025,SEP.2027,NOT_VISIBLE
image55,NOT_VISIBLE,Rs.0.62 per g,16 g,5staR,Trads of Mondelez International group used under license,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image56,NOT_VISIBLE,NOT_VISIBLE,200g,Mithai,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
image57,NOT_VISIBLE,Per Bar,oNet Wt12.1g,Cadbury,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE,NOT_VISIBLE
